lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
gabon,0.052851688,7.859,23.1,16562.413,2225728,0.047738987,0.33950631,0.033792975,-1,1.001803455,0.118730007,0.133162857,0.131405859,0.189349867,0.270020596,0.007186565,0.557265308,0.015763629,0.015852436,0.31667378,0.03185582,0.036393796,0.289216292,0.011301556,0.255826633,0.1952425,0.036702791,0.283130059,0.012232865,-1,0.157793989,0.003660387,0.035368149,0.071053471,-1,0.200787967,0.006246806
gambia,0.022548762,207.566,17.5,1561.767,2416664,0.117326157,0.511170357,0.088924236,-1,1.111340261,0.110714439,0.100655697,0.166518887,0.117699026,0.233319899,0.014674961,0.451193877,0.01938365,0.020066203,0.055690696,0.028159165,0.010958582,0.365252803,0.010310461,0.250073821,0.118413689,0.129238653,0.50316221,0.008527329,-1,0.254929771,0.00836768,0.092537688,0.049339544,0.001241381,0.121260382,0.008323395
georgia,0.105553248,65.032,38.7,9745.079,3989175,0.007754821,0.192184825,0.000923895,-1,7.517674707,0.574382422,0.19671298,0.445270764,0.346220459,0.48591576,0.008448143,1.986786491,0.083138218,0.044682397,-1,0.03400475,0.035508269,0.008620873,0.019117788,0.03999624,0.181518535,0.004793224,0.083252302,0.016824449,-1,0.004751032,0.011978356,0.00292299,0.086537317,-1,0.30320555,0.00880933
germany,0.130773016,237.016,46.6,45229.245,83783945,0.003202359,0.301212482,0.003456754,1.19E-05,4.253349493,0.999982395,0.319322395,0.553502822,0.233429448,0.533929502,0.002398175,3.016847679,0.151768218,0.009273119,-1,0.006596477,0.007975347,0.005544561,0.024092838,0.005533102,0.056287443,0.000672698,0.01522898,0.077614357,-1,0.045479787,0.003693413,0.005436669,0.145787358,-1,0.228366067,0.001545061
ghana,0.046953785,126.719,21.1,4227.63,31072945,0.138249915,0.571576013,0.073627685,-1,1.178349526,0.089003698,0.114948551,0.141413503,0.128858015,0.274866383,0.019620345,0.565080973,0.01483562,0.020562653,0.603659872,0.025437084,0.029038635,0.446616824,0.018098629,0.294216496,0.173162988,0.035583978,0.545514112,0.012879832,0.000611464,0.235235025,0.008321413,0.077569249,0.061396401,0.001576935,0.169184543,0.009630552
greece,0.132734191,83.479,45.3,24574.382,10423056,0.004225425,0.409567597,0.000215485,-1,4.882939322,1.102263098,0.343621007,0.582247759,0.125487285,0.34341032,0.008005491,2.99770432,0.140046547,0.01362656,-1,0.034439285,0.012486635,0.002837412,0.018944597,0.014330461,0.117166309,0.000784546,0.014751988,0.003894105,0.002302588,0.003371388,0.003068511,0.000734863,0.049651129,-1,0.108569598,0.002378447
grenada,0.094759311,317.132,29.4,13593.877,112519,0.007572765,0.740005688,0.034086279,-1,3.649561407,0.449326691,0.449064958,0.269677566,0.165750229,0.367624135,0.003819853,2.026820359,0.077352029,0.025818919,-1,0.064549658,0.052168336,0.05463615,0.014434158,0.006519423,0.103262471,0.01337671,0.087040891,0.035508945,-1,0.014814129,0.004263858,0.037108142,0.054381384,-1,0.84799936,0.005250989
guatemala,0.057112641,157.834,22.9,7423.808,17915567,0.02033407,0.541175337,0.107012856,-1,0.837767512,0.12036923,0.282708719,0.111346239,0.258060211,0.407484173,0.00264337,0.615866637,0.019764845,0.014667507,0.000745825,0.043223098,0.345686966,0.039095045,0.019896083,0.022782851,0.150243528,0.026656594,0.205137353,0.094320319,0.00106053,0.165055284,0.004307741,0.114254492,0.053542687,-1,0.308727153,0.013663453
guinea,0.026319548,51.755,19,1998.926,13132792,0.18954431,0.916255279,0.175758437,-1,1.229826072,0.12149016,0.121684635,0.220689325,0.128577153,0.238406959,0.019681786,0.618657251,0.0206903,0.027671267,0.864664574,0.045505038,0.056892152,0.227586107,0.008596101,0.450544484,0.150635676,0.149335572,0.762331422,0.008806833,-1,0.402615148,0.012122342,0.183773108,0.056824809,0.002132068,0.12785126,0.011049851
guinea-bissau,0.030671322,66.191,19.4,1548.675,1967998,0.163641731,0.583952829,0.100541616,-1,1.129113952,0.070587927,0.13219734,0.187765689,0.147531959,0.268088585,0.023609607,0.502786944,0.012165454,0.024572428,0.11929443,0.046240784,0.076778686,0.731848813,0.011357979,0.437557558,0.197271491,0.069388892,0.836334183,0.009614212,-1,0.677351298,0.013281462,0.106155596,0.071446617,-1,0.128779704,0.010368618
guyana,0.076817291,3.952,26.3,7435.047,786559,0.009833462,0.315917433,0.044353329,-1,2.586313296,0.170294028,0.229902525,0.143434631,0.220793354,0.35704518,0.006903759,0.789858231,0.027102163,0.017040095,0.01547786,0.069523024,0.161133621,0.249001156,0.013963898,0.061498667,0.149420959,0.024475685,0.246840987,0.049807529,-1,0.057453236,0.010792628,0.050942879,0.24084309,-1,0.539933686,0.004479612
haiti,0.061553372,398.448,24.3,1653.173,11402533,0.075148285,0.526466005,0.051817697,-1,2.102829257,0.112418179,0.182686514,0.27488287,0.145259917,0.317395793,0.008305101,0.882667912,0.023859699,0.028340747,0.000832531,0.079666676,0.192060659,0.337648749,0.006611218,0.089548962,0.393546943,0.090866389,0.420386242,0.026463585,0.002718694,0.324741354,0.00783095,0.05675588,0.073312246,-1,0.35107901,0.008982592
honduras,0.067882657,82.805,24.9,4541.795,9904608,0.011120753,0.097668237,0.015210193,0.000201926,1.324317934,0.243162274,0.075135876,0.207595899,0.241138165,0.449192235,0.007010677,0.548296308,0.033712793,0.004617634,0.003516009,0.030919911,0.41940418,0.006347819,0.014435846,0.043018512,0.130682103,0.027705862,0.147823518,0.037812077,0.00131252,0.124073058,0.000968071,0.02150281,0.035533663,-1,0.098641541,0.009699394
hungary,0.127632199,108.043,43.4,26777.561,9660350,0.005792205,0.105186976,0.000963906,-1,5.922319585,0.731287479,0.160767053,0.564921975,0.334129405,0.608581573,0.000990144,3.326802859,0.091967807,0.013500525,-1,0.013423168,0.016394282,0.004120593,0.006322814,0.007010211,0.081683324,0.001077753,0.01895275,0.052731071,-1,0.025911432,0.020256761,0.002542916,0.209670561,-1,0.213589673,0.005674933
iceland,0.110613919,3.404,37.3,46482.958,341250,0.004641395,0.278700015,0.003481216,-1,2.163364689,0.69194696,0.078269099,0.333931136,0.055830652,0.189739399,0.000443727,1.911636923,0.1139137,0.009201363,-1,0.010438766,0.007199396,0.002494942,0.038649553,0.004476929,0.041910359,0.00014405,0.008152179,0.030574447,0.002930403,0.01683033,0.005103496,0.004877421,0.116927473,-1,0.065014359,0.003396105
india,0.084039402,450.419,28.2,6426.674,1380004385,0.036269088,0.367653687,0.017783849,0.000336955,1.907805532,0.130472774,0.16218847,0.921509391,0.157894861,0.304017222,0.048748562,0.673548657,0.029412638,0.019584713,0.03602332,0.043622064,0.030325773,0.037757619,0.00808317,0.325936935,0.158605366,0.028570793,0.310630969,0.020888021,0.00143407,0.521073127,0.010672176,0.031267937,0.15280321,0.000555071,0.184459704,0.003691736
indonesia,0.086353903,145.725,29.3,11188.744,273523621,0.019883902,0.160001977,0.042636391,7.31E-05,2.186264564,0.175008213,0.129588845,0.352130648,0.300319693,0.444160909,0.020909222,0.72693868,0.025958891,0.006429715,0.0238383,0.020937036,0.009237626,0.024766636,0.002930944,0.30059042,0.130247215,0.024229355,0.143370726,0.002828111,0.000383879,0.250933758,0.000458929,0.045027482,0.028927962,8.77E-05,0.354651235,0.004047347
iran,0.095474883,49.831,32.4,19082.62,83992953,0.008765213,0.110901054,0.001835065,0.000464325,1.920755185,0.255205458,0.120994198,0.177967192,0.064290251,0.117951383,0.010298658,0.721494576,0.031810502,0.023103117,0.000119226,0.012426376,0.022824462,0.009426786,0.040351242,0.009573273,0.251494432,0.003548244,0.113735589,0.003363819,0.010059545,0.009734254,0.000907999,0.00240284,0.056807671,0.001119142,0.190888038,0.011690945
iraq,0.044838947,88.125,20,15663.986,40222503,0.021795665,0.090209229,0.00331329,0.161004401,1.070855287,0.089496171,0.117001172,0.052999834,0.02946296,0.049897268,0.003330648,0.342592056,0.011806858,0.010657915,-1,0.014296654,0.061000878,0.002876594,0.013016269,0.017463804,0.093796848,0.006832218,0.305243311,0.001893816,0.000248617,0.016816293,0.00256317,0.003657328,0.037625605,0.826405806,0.106443376,0.003121064
ireland,0.108480013,69.874,38.7,67335.293,4937796,0.002646618,0.277843192,0.000899387,-1,1.960682256,0.546448658,0.117266347,0.450796064,0.079497877,0.231785396,0.001476271,1.940243785,0.06981386,0.008365546,-1,0.009052685,0.006670446,0.001982101,0.0361617,0.006544043,0.037999889,0.000516623,0.017220877,0.020170916,-1,0.007680321,0.002242027,0.001817144,0.09171594,-1,0.084961671,0.002150607
israel,0.07840704,402.606,30.6,33132.32,8655541,0.004148894,0.262943934,0.003065926,0.000346599,1.368920787,0.538120032,0.259079473,0.209374781,0.081717965,0.20887926,0.001313676,1.497999952,0.065580788,0.008971235,-1,0.006123585,0.021588645,0.004787668,0.008110615,0.003058628,0.072979413,0.001086497,0.027810578,0.006776593,-1,0.031715025,0.003704063,0.004339766,0.062657089,0.002426191,0.247337746,0.001366489
italy,0.135798704,205.859,47.9,35220.084,60461828,0.003006341,0.217768474,0.003550916,-1,3.582175848,1.212978377,0.236379886,0.480373832,0.19343345,0.436692222,0.005136165,2.986624883,0.124985073,0.015002009,-1,0.007222402,0.007758831,0.010925326,0.011407503,0.006382258,0.094432143,0.000277401,0.011961297,0.007236951,0.000694653,0.012749691,0.006967972,0.006709986,0.071735261,-1,0.306824828,0.002066446
jamaica,0.091577218,266.879,31.4,8193.571,2961161,0.009800342,0.169944491,0.018656476,-1,2.12035921,0.423098237,0.273424106,0.234683153,0.064832105,0.170219248,0.00244763,1.342288379,0.050952988,0.011672152,-1,0.01079794,0.299685056,0.148424081,0.005625294,0.005054274,0.093523723,0.00946985,0.146029041,0.005234886,-1,0.010642289,0.001828426,0.020656604,0.036584401,-1,0.849588726,0.002741717
japan,0.138588158,347.778,48.2,39002.223,126476458,0.003598822,0.866043387,0.006862089,-1,2.910354273,1.569904812,0.282333492,0.424891485,0.200447818,0.445409928,0.003910106,3.278856054,0.123444001,0.015204766,-1,0.058283519,0.005641047,0.00163507,0.005765886,0.030600628,0.060729832,0.00036706,0.004401849,0.007547794,0.000403237,0.0243874,0.013998834,0.009788612,0.22785695,3.16E-05,0.058997019,0.00366721
jordan,0.064461498,109.285,23.2,8337.49,10203140,0.006428653,0.099344418,0.000704597,0.000392036,0.883822823,0.127297087,0.125559093,0.071539771,0.043591189,0.080536649,0.002691729,0.441241814,0.015645047,0.012924276,-1,0.010575058,0.027195452,0.0022472,0.008633956,0.004513903,0.108795822,0.005067022,0.198312774,0.00205818,-1,0.00568502,0.00139467,0.000890201,0.02982572,0.003430317,0.14859308,0.006521253
kazakhstan,0.079311697,6.681,30.6,24055.588,18776707,0.011437554,0.192994384,0.003190239,-1,3.586320008,0.238644934,0.079104978,0.299020004,0.364734775,0.48541845,0.002242366,0.979917831,0.033239401,0.02311074,-1,0.049182809,0.081132597,0.01375026,0.041975955,0.046651609,0.147357308,0.00283986,0.109031898,0.08899324,-1,0.004579891,0.042357459,0.004684189,0.227020531,-1,0.062619234,0.024978805
kenya,0.045171977,87.324,20,2993.028,53771300,0.100481818,0.432729356,0.081212003,0.002343257,0.669364698,0.077110373,0.087171298,0.127780135,0.193382157,0.351361414,0.019274297,0.397474117,0.01030035,0.018654245,0.087560167,0.020572722,0.08131347,0.902014643,0.002774238,0.276742798,0.102337939,0.074211038,0.315749666,0.009985591,0.000483529,0.387481054,0.001988977,0.083513826,0.056878037,0.007271524,0.11425106,0.01134251
kiribati,0.053314371,143.701,23.2,1981.132,119446,0.114280595,0.342613817,0.136212096,-1,2.262820856,0.155530868,0.230515965,0.525681563,0.151095809,0.367699546,0.012798612,0.780276359,0.023304983,0.007281575,-1,0.051299684,0.017140122,0.004102925,0.005095717,0.447936222,0.100963113,0.068605294,0.479903052,0.003537331,-1,0.277294342,0.003100857,0.14030541,0.249176615,-1,1.009101184,0.018966587
kuwait,0.14717509,232.128,33.7,65530.537,4270563,0.003042735,0.134158002,8.62E-05,-1,0.724458813,0.075967408,0.04141557,0.038945732,0.037184582,0.061388065,0.001667859,0.28869121,0.010581617,0.007516299,-1,0.005642237,0.00901845,0.001268804,0.006083861,0.005442622,0.123866806,0.001544523,0.040594273,0.002195458,-1,0.001579096,0.000809727,0.000162239,0.030429922,-1,0.05085278,0.004110147
kyrgyzstan,0.064162055,32.333,26.3,3393.474,6524191,0.008347352,0.130877468,0.001275487,-1,2.537716937,0.126292379,0.069148742,0.213477656,0.33091919,0.382429331,0.005419992,0.568536237,0.018195206,0.014679426,-1,0.043678289,0.041103165,0.028591974,0.01979099,0.069988647,0.135559489,0.009116603,0.282333549,0.058969717,0.003678617,0.020824084,0.016379487,0.002581633,0.09110046,-1,0.04062706,0.012047468
latvia,0.120910646,31.212,43.9,25063.846,1886202,0.00594835,0.201126019,0.000547488,-1,8.198188741,0.92247861,0.137125557,0.229852688,0.230248563,0.528905653,0.001927756,2.979896639,0.104495118,0.063611161,-1,0.075204034,0.070806043,0.067039267,0.028985888,0.031788228,0.112360129,0.001429331,0.017744568,0.155919674,-1,0.002618254,0.062720271,0.003831707,0.232208109,-1,0.169738183,0.01211585
lebanon,0.087290401,594.561,31.1,13367.565,6825442,0.007833274,0.108291536,0.001499588,0.002490681,2.064903636,0.27332501,0.087090668,0.172213463,0.075988339,0.122076739,0.007320796,1.128590207,0.031161909,0.016460853,-1,0.01292155,0.055726164,0.016483035,0.049838472,0.00524668,0.082377669,0.005671555,0.081672513,0.003568655,-1,0.011606026,0.000787876,0.001891895,0.059428122,0.056553114,0.23651699,0.008071583
lesotho,0.063925139,73.562,22.2,2851.153,2142252,0.080785874,0.734386991,0.077389075,-1,1.870505898,0.145059778,0.194466664,0.488433667,0.09751075,0.273045841,0.009107962,0.839233199,0.017289633,0.050505216,-1,0.052223641,0.371500505,2.955356793,0.01763258,0.901895295,0.374632256,0.067246897,0.404422029,0.016580869,-1,0.571868762,0.011941555,0.080429193,0.238843329,0.001867194,0.520111546,0.017755502
liberia,0.035260366,49.127,19.2,752.788,5057677,0.122906702,0.458105174,0.087384169,-1,0.872779341,0.086194769,0.102206645,0.109603085,0.144840111,0.24357368,0.016814411,0.418748172,0.013003579,0.017259097,0.555598549,0.026117128,0.019478907,0.363853801,0.008642913,0.295517092,0.098650764,0.139372562,0.482836883,0.009453878,-1,0.494980798,0.007948985,0.092028633,0.067107745,0.000790877,0.104840859,0.007851025
libya,0.084478259,3.623,29,17881.509,6871287,0.010273435,0.12255298,0.0019134,0.042059079,1.940600065,0.219473732,0.171916993,0.175428708,0.082667192,0.127843154,0.010325937,0.81289153,0.031062114,0.019673156,-1,0.018126662,0.023968639,0.015031187,0.081701798,0.010518136,0.247592627,0.007394082,0.063265994,0.005715749,-1,0.009505851,0.001282246,0.002412328,0.084178655,0.221938045,0.204456167,0.010950206
lithuania,0.122849554,45.135,43.5,29524.265,2722291,0.007178288,0.258766789,0.000545377,-1,8.173677979,0.733747421,0.092809586,0.287159896,0.346045335,0.743507582,0.001478722,2.966269954,0.103196536,0.028577922,-1,0.078690816,0.062977286,0.024610914,0.047023885,0.068163176,0.119337058,0.000994434,0.014872734,0.131911467,-1,0.004430735,0.084917006,0.001611125,0.379356579,-1,0.07994509,0.036413954
luxembourg,0.125164288,231.447,39.7,94277.965,625976,0.002283372,0.233701612,0.0071732,-1,2.231721344,0.702834454,0.135132657,0.378169451,0.158472577,0.362841067,0.001498126,2.086370723,0.097162862,0.007639587,-1,0.005343111,0.009952594,0.003845866,0.031590668,0.003004296,0.059921594,0.000736594,0.00883577,0.041737479,-1,0.025030656,0.003010004,0.008501655,0.110128663,-1,0.101472213,0.001884972
madagascar,0.036026366,43.951,19.6,1416.44,27691019,0.118606072,0.716968198,0.413592941,-1,1.246841801,0.051302771,0.075051734,0.231206118,0.106142645,0.217286262,0.012086276,0.423947562,0.007414798,0.024633185,0.209422087,0.030095566,0.014197892,0.091544013,0.002702844,0.146344308,0.125498921,0.094494609,0.635005523,0.00826629,0.002925136,0.844255316,0.002542809,0.421383193,0.057429234,0.0062114,0.106429669,0.010121022
malawi,0.029154332,197.519,18.1,1095.042,19129955,0.125911744,0.492718984,0.106834229,-1,0.784427878,0.099171483,0.1012396,0.13384182,0.137987622,0.293561956,0.019833366,0.527580959,0.012720244,0.021826539,0.359847788,0.030119276,0.015298578,1.146638871,0.003685823,0.377663565,0.11641742,0.05498314,0.579293574,0.011479243,-1,0.369087277,0.002593409,0.109783949,0.062072807,0.000627288,0.138125521,0.009389008
malaysia,0.094225984,96.254,29.9,26808.164,32365998,0.013986209,0.732012651,0.001777052,0.000123586,1.770018956,0.181877722,0.146165306,0.17826668,0.095231638,0.218169512,0.009025617,0.835956302,0.027207954,0.012006671,0.000322496,0.027043538,0.018620198,0.048791945,0.012831766,0.039583145,0.214622735,0.008922617,0.040330782,0.013602605,0.00027807,0.020769166,0.00044337,0.002029756,0.070470714,-1,0.056932618,0.007012653
mali,0.013914751,15.196,16.4,2014.306,20250834,0.28283087,0.572116684,0.319902331,0.017826426,0.890598382,0.081677229,0.10588038,0.233884145,0.088094397,0.236675043,0.032049381,0.514035619,0.013851647,0.038280591,1.238490721,0.075195027,0.052415718,0.286729919,0.004213734,0.173962613,0.153526319,0.126360228,1.315515697,0.005690462,-1,0.759785498,0.011401916,0.330149662,0.03576153,0.042961194,0.101678133,0.014429969
malta,0.12966925,1454.037,42.4,36513.323,441539,0.004069953,0.392627378,0.001280578,0.002264806,3.552542358,0.749280585,0.214016927,0.38886078,0.098984325,0.288502261,0.00156756,2.35882221,0.121638066,0.005926555,-1,0.01070396,0.011983293,0.003682318,0.018019973,0.002794557,0.039075212,0.00112295,0.026015958,0.009721329,-1,0.006274037,0.00349127,0.002552101,0.060334761,-1,0.265460582,0.00151865
mauritania,0.03820734,4.289,20.3,3597.633,4649660,0.069412817,0.407528077,0.045019421,-1,0.843934395,0.120236318,0.098934524,0.128986356,0.091513164,0.193532344,0.00965202,0.496497593,0.018887082,0.014574941,0.05830579,0.018785453,0.031975069,0.004215728,0.008174671,0.116606935,0.14505652,0.109479016,0.42979078,0.006642544,0.003871251,0.32041203,0.006747713,0.047307545,0.033910135,0.000430139,0.116410447,0.006145879
mauritius,0.117023139,622.962,37.4,20292.745,1271767,0.007036201,0.241425198,0.010247443,-1,2.602432678,0.357151349,0.841735947,0.391310908,0.187318039,0.286113809,0.006602695,1.096023879,0.047315758,0.021537003,-1,0.036251342,0.025560712,0.07533295,0.013882244,0.01165892,0.129509887,0.005314511,0.072369475,0.061153977,-1,0.021242028,0.000518586,0.010783107,0.092505152,-1,1.359224606,0.002927727
mexico,0.083015354,66.444,29.3,17336.469,128932753,0.005892412,0.169377908,0.042543115,0.000178388,1.254783569,0.254903345,0.504392317,0.26615324,0.314186264,0.484881603,0.005472197,0.754514022,0.035403456,0.010257254,1.18E-05,0.025616749,0.334749542,0.0432412,0.010574799,0.020315055,0.156436899,0.008683232,0.089479979,0.038340374,0.004095158,0.035628596,0.00219288,0.048076209,0.059213984,-1,0.496902909,0.0055259
micronesia (country),0.071225337,150.777,23,3299.464,115021,0.018831883,0.273935716,0.021800254,-1,2.3061667,0.153927109,0.336279636,0.374917276,0.122180732,0.227454813,0.0089524,0.769623895,0.023722903,0.012817494,-1,0.074415794,0.050799202,0.264452491,0.007307248,0.059600221,0.141508942,0.027915572,0.134775563,0.008825884,-1,0.024727224,0.009242947,0.023011859,0.14738726,-1,0.592662644,0.009364081
moldova,0.122827215,123.655,37.6,5189.972,4033963,0.006711782,0.235285227,0.000231988,-1,5.749618923,0.332220449,0.051414478,0.227137929,0.766992161,0.957527127,0.000958306,1.563578298,0.042930389,0.029463756,-1,0.051616537,0.055666252,0.042983042,0.014679458,0.059577121,0.109530677,0.00163521,0.053489782,0.120155267,-1,0.002279311,0.054036291,0.000497583,0.161008244,-1,0.066091955,0.047348699
mongolia,0.074537921,1.98,28.6,11840.846,3278292,0.00954832,0.201372788,0.000671606,-1,2.370129934,0.088542113,0.10018772,0.105533979,0.419233552,0.559818955,0.00605623,1.467513266,0.01405711,0.030800002,-1,0.043528673,0.083126274,0.006066369,0.012241106,0.112056492,0.166585557,0.009872156,0.287041819,0.148486773,0.005185627,0.009171913,0.067964019,0.003502309,0.16007183,-1,0.03011147,0.026871267
montenegro,0.113289373,46.28,39.1,16409.288,628062,0.002371837,0.107864749,0.001059372,-1,5.950766007,0.564075521,0.201603345,0.136641335,0.078010133,0.249056781,0.002899244,2.230085565,0.082843764,0.013764797,-1,0.009476553,0.035220201,0.002162812,0.026381233,0.007412134,0.090765991,0.00081007,0.026189867,0.019353408,-1,0.001086776,0.001032884,0.001584836,0.122031917,-1,0.258154609,0.007366364
morocco,0.081679653,80.08,29.6,7485.013,36910558,0.019390092,0.158371786,0.002331565,-1,3.118999176,0.253123673,0.123098979,0.208065129,0.089351535,0.160706051,0.011273441,0.663899473,0.034157435,0.023048535,-1,0.016965704,0.011106641,0.016322473,0.017986049,0.132286865,0.196788057,0.021818139,0.15159657,0.003514111,-1,0.027699202,0.001695234,0.002968763,0.069748688,5.42E-05,0.218426798,0.010703937
mozambique,0.023063482,37.728,17.7,1136.103,31255435,0.105293975,0.444562042,0.07770143,0.000703878,0.954483596,0.072233389,0.082623326,0.124210077,0.076148356,0.227722858,0.022009484,0.506344896,0.010215235,0.028750261,0.589431886,0.03737078,0.060955735,1.987986729,0.008871571,0.615381293,0.162453794,0.066859476,0.619876191,0.015855028,0.000223961,0.341988841,0.001212922,0.081669924,0.087082967,0.005503043,0.13991285,0.013016981
myanmar,0.085342022,81.721,29.1,5591.597,54409794,0.030664479,0.415028956,0.01924262,0.004006632,1.423692029,0.265477204,0.221023994,1.020672675,0.42586763,0.522161874,0.007866569,1.1039586,0.037385732,0.005892744,0.067755614,0.057639108,0.016338266,0.098251907,0.006119194,0.248843618,0.201094494,0.034092998,0.243418859,0.014391756,5.51E-05,0.149255812,0.001530142,0.022332413,0.049133158,0.00056975,0.500219501,0.01758638
namibia,0.048739878,3.078,22,9541.808,2540916,0.042166447,0.45183666,0.051850592,-1,1.181730526,0.160016073,0.098488577,0.256470698,0.085239654,0.234081804,0.003867872,0.611399983,0.017677011,0.029686711,0.00323139,0.026883714,0.136073802,1.55867451,0.010854558,0.342046923,0.177674941,0.023430877,0.32666684,0.015178845,-1,0.319825646,0.007047588,0.053319787,0.090971917,0.000393559,0.214979519,0.010160863
nepal,0.069424029,204.43,25,2442.804,29136808,0.028711851,0.319085399,0.013276073,0.000137283,1.690246577,0.143422368,0.167463093,0.809403693,0.194639406,0.334841792,0.026918608,0.62857057,0.024874973,0.012785766,0.024847674,0.032298651,0.016698638,0.089898694,0.003259076,0.164603103,0.232919268,0.046812781,0.29436845,0.00952951,0.005285411,0.370544364,0.003112116,0.026028084,0.080335224,-1,0.180129752,0.002914337
netherlands,0.124475421,508.544,43.2,48472.545,17134873,0.005551308,0.36057927,0.005060776,-1,2.367320143,0.865807993,0.156552663,0.589956517,0.098078229,0.329665881,0.001024776,3.026199844,0.104554612,0.008941461,-1,0.006296726,0.008522193,0.003241466,0.013623597,0.005419622,0.049966994,0.000641304,0.018696118,0.031087525,-1,0.02060003,0.003418411,0.010313709,0.120572414,-1,0.159271971,0.00133864
new zealand,0.108559209,18.206,37.9,36085.843,4822233,0.002941631,0.150954527,0.001455882,-1,2.259932276,0.616904865,0.160215029,0.444457785,0.060581623,0.207342532,0.000672668,2.040146339,0.078163519,0.0046917,-1,0.011113519,0.012365595,0.002069464,0.015488343,0.003730133,0.075072606,0.001326402,0.024998896,0.013615085,-1,0.014669067,0.001663563,0.00208947,0.111378007,-1,0.115213222,0.001879641
nicaragua,0.071466854,51.667,27.3,5321.444,6624554,0.008395493,0.128151767,0.014687763,-1,0.910739198,0.177129207,0.345970159,0.132428236,0.170055373,0.238417107,0.002338675,0.496465121,0.021343082,0.004129831,0.000400418,0.024191651,0.071209186,0.089123917,0.004488498,0.02083701,0.098669782,0.011228892,0.128069165,0.059092295,0.002264303,0.027727255,0.000787056,0.015046531,0.056220026,-1,0.185797716,0.003467248
