lower case,distance from niger,population_density,median_age,gdp_per_capita,population,Meningitis,Lower respiratory infections,Protein-energy malnutrition,Terrorism (deaths),Cardiovascular diseases,Alzheimer disease and other dementias,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Hepatitis,Neoplasms,Parkinson disease,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings
niger,0,16.955,15.1,926,24206636,0.322830773,0.814237881,0.0907944,0.006114026,0.577009957,0.050047846,0.073397931,0.126140658,0.062127757,0.182271134,0.028429824,0.337819059,0.008621293,0.027146606,1.259371191,0.049695257,0.043429496,0.080577904,0.003212934,0.239962298,0.104994102,0.121036066,0.669303657,0.00495289,0.002974391,0.907000874,0.009488427,0.096256291,0.031093073,0.012723784,0.069625288,0.010666071
nigeria,0.024372832,209.588,18.1,5338.454,206139587,0.256853818,0.921364512,0.121551907,0.008756203,0.594352117,0.099211075,0.066653185,0.092420822,0.220596057,0.344794811,0.016034465,0.468397174,0.014389997,0.019815447,0.738530149,0.037895317,0.034602441,0.820330061,0.01004906,0.277576378,0.096100901,0.087233802,0.874915404,0.009514073,9.70E-05,0.671189372,0.00629341,0.124958289,0.039145732,0.01968569,0.059418233,0.008121778
north macedonia,0.121216475,82.6,39.1,13111.214,2083380,0.003630932,0.070557988,0.000226625,-1,5.048488514,0.406917365,0.148138602,0.256123319,0.112900191,0.2232178,0.001349611,2.101165414,0.06749652,0.00716286,-1,0.012506398,0.018927704,0.000796841,0.005535092,0.01542757,0.077061986,0.001017639,0.06088558,0.010027839,-1,0.003437497,0.004683025,0.000462969,0.091866198,-1,0.357820129,0.004221736
norway,0.118358304,14.462,39.7,64800.057,5421242,0.003475794,0.339421483,0.007251191,-1,2.376912892,0.823642073,0.108825063,0.486818334,0.068732755,0.256103306,0.001306876,2.141747223,0.085708755,0.016965505,-1,0.010412845,0.007080116,0.002726999,0.050529344,0.007300187,0.039676314,0.000348954,0.010488121,0.04822074,-1,0.058591758,0.009472761,0.010098053,0.10756015,-1,0.109030698,0.006714819
oceania,0.092807597,-1,-1,-1,42677809,0.020728545,0.164225511,0.022338612,-1,0.74711497,0.023068907,0.067949294,0.327523608,0.04065054,0.063315575,0.005980204,0.20874804,0.004763696,0.007935487,0.015101888,0.043406375,0.027321248,0.035316199,0.001232342,0.035371474,0.079029526,0.039810338,0.113974595,0.002803185,-1,0.085887961,0.004246657,0.022983563,0.05882884,-1,0.135839682,0.004296964
pakistan,0.052676617,255.573,23.5,5034.708,220892331,0.085349409,0.269092457,0.014224011,0.004871151,1.726729481,0.102268965,0.166797823,0.316756719,0.205987821,0.328879276,0.026928599,0.774072596,0.016679511,0.01178442,0.022631723,0.059058818,0.042220135,0.02402274,0.004524889,0.199870678,0.239975239,0.0831688,0.837954397,0.007004711,0.000190138,0.270661864,0.002782146,0.025570195,0.041137105,0.002145842,0.185029375,0.005207628
palestine,0.043595824,778.202,20.4,4449.898,5101416,0.008024182,0.101022755,0.00152624,0.0098012,1.044186947,0.13528436,0.122315647,0.080648393,0.043452524,0.072820135,0.002447254,0.444068862,0.014321296,0.005081158,-1,0.007977058,0.050925116,0.002014109,0.005618722,0.007814897,0.069628629,0.003600032,0.19876795,0.001910017,-1,0.006885173,0.001358369,0.0017405,0.028452081,0.025091073,0.149609736,0.001384002
panama,0.082958929,55.133,29.7,22267.037,4314768,0.011623434,0.207800651,0.024613212,-1,1.215743002,0.299093254,0.220515726,0.177766591,0.105490562,0.19122319,0.001986347,0.815456358,0.04079195,0.005690598,0.000103689,0.030769093,0.148301508,0.121942779,0.00605932,0.045810968,0.118669486,0.011554118,0.086014242,0.006542658,0.000231762,0.039999509,0.000414116,0.026472246,0.04603397,-1,0.247413302,0.003215044
papua new guinea,0.05293334,18.22,22.6,3823.194,8947027,0.084615035,0.611476192,0.091469356,-1,2.631826192,0.055801721,0.219548572,1.35751686,0.146032308,0.21172005,0.023017087,0.692003947,0.013622246,0.029058368,0.067741631,0.172237214,0.111131899,0.14789952,0.0040182,0.1370434,0.316471494,0.171282707,0.450752077,0.010692526,-1,0.362606707,0.01628788,0.094009507,0.226140929,-1,0.340916933,0.016778277
paraguay,0.074405852,17.144,26.5,8827.01,7132530,0.012156738,0.190820508,0.033143667,0.000560811,1.378905101,0.218286919,0.22455384,0.150739499,0.09406707,0.212606747,0.001653433,0.792061022,0.029053772,0.008032521,-1,0.023657005,0.118412078,0.106774959,0.00348969,0.032206202,0.209102661,0.015204969,0.067663606,0.033346989,-1,0.024376413,0.001246514,0.033946888,0.055047662,-1,0.306744451,0.002255142
peru,0.092449591,25.129,29.1,12236.706,32971846,0.007951614,0.504621731,0.019581764,0.000242631,0.84071362,0.30919015,0.160349742,0.227225524,0.168685338,0.279859035,0.002734655,0.864764442,0.039770415,0.01148418,0.000190805,0.025655112,0.035995194,0.072658534,0.011668528,0.062887653,0.138815279,0.016644003,0.112568129,0.008588982,0.003032891,0.037066866,0.004481023,0.021791892,0.031335734,-1,0.130399159,0.00669735
philippines,0.0704925,351.873,25.2,7599.188,109581085,0.031037026,0.62066186,0.031058271,0.004526329,1.98530887,0.143596771,0.310738482,0.301702068,0.115862697,0.241948052,0.007146383,0.723485353,0.02185817,0.010830601,0.000926195,0.047866217,0.145011705,0.038190268,0.005338152,0.267581399,0.099838854,0.019202256,0.225602712,0.013052453,0.000629671,0.064665357,0.001871239,0.037708634,0.050832587,0.010385004,0.237710641,0.002291439
poland,0.127171725,124.027,41.8,27216.445,37846605,0.0043001,0.29317055,0.002015383,-1,4.457699706,0.759731025,0.090944168,0.312482454,0.205789661,0.4450275,0.001245084,2.887072698,0.092738596,0.016662329,-1,0.023895374,0.017598384,0.003793048,0.008024989,0.015241658,0.104468366,0.000432143,0.018496795,0.11776483,-1,0.007340561,0.009452322,0.002586215,0.179102168,-1,0.175831069,0.006426875
portugal,0.13274744,112.371,46.2,27936.896,10196707,0.004328319,0.702236516,0.008142197,-1,3.623080471,1.058698656,0.304919814,0.647033989,0.209180866,0.501226229,0.002813659,2.902879332,0.123889997,0.023158849,-1,0.011853327,0.013893329,0.049277674,0.014589681,0.0219138,0.094239219,0.000673356,0.01203921,0.028884453,-1,0.015773377,0.006497358,0.011291596,0.133254589,-1,0.36962894,0.003388455
romania,0.126116602,85.129,43,23313.199,19237682,0.003946259,0.322626239,0.002919858,-1,7.529425842,0.75145124,0.158187873,0.387164524,0.525756689,0.739777277,0.002223319,2.662947646,0.113112692,0.022613483,-1,0.037115724,0.021071868,0.008599591,0.018103158,0.05242877,0.113542006,0.001576096,0.02454933,0.032643995,0.000467832,0.005495615,0.016477843,0.00423835,0.122895108,-1,0.117455055,0.017931391
russia,0.114908329,8.823,39.6,24765.954,145934460,0.009224264,0.243209931,0.001473414,0.000417996,6.853919218,0.578128839,0.077849399,0.261979727,0.348854753,0.648295954,0.001467137,1.997105413,0.066077532,0.04839628,-1,0.056593309,0.148263131,0.132263757,0.064961826,0.072395101,0.167093913,0.001715303,0.030565118,0.195320283,0.000109638,0.002823307,0.06973932,0.006790043,0.300802771,0.000897663,0.107457142,0.04441994
rwanda,0.039309473,494.869,20.3,1854.211,12952209,0.101805723,0.49729108,0.115026325,0.000154414,0.627342873,0.086823414,0.088633452,0.162628552,0.20601922,0.37488169,0.020092017,0.487013219,0.011121022,0.024655678,0.235659647,0.027551887,0.02856827,0.228731331,0.002607041,0.352394329,0.205432679,0.056440349,0.457311181,0.012920252,0.000231621,0.300820347,0.002138065,0.11860417,0.0599652,0.000308828,0.124570566,0.009959637
saint lucia,0.110792047,293.187,34.9,12951.839,183629,0.009086446,0.310042749,0.023341368,-1,2.298844954,0.430667705,0.301292225,0.290019768,0.149902957,0.268712023,0.002367562,1.47835636,0.061068241,0.016660146,-1,0.053447152,0.17882927,0.04263912,0.00966257,0.021933366,0.136248958,0.009450904,0.090796497,0.049785992,-1,0.020336178,0.003693523,0.026586835,0.075643008,-1,0.587833621,0.002637372
saint vincent and the grenadines,0.100173049,281.787,31.8,10727.146,110947,0.014480211,0.408095848,0.053376026,-1,3.1373728,0.311210217,0.329572499,0.194551452,0.15259331,0.335059353,0.00136202,1.744323866,0.056748511,0.020473767,-1,0.067720317,0.213484907,0.181558852,0.012505881,0.023883187,0.104104843,0.013759615,0.129849748,0.089419453,-1,0.034345039,0.010618259,0.062392503,0.082099931,-1,0.85727816,0.002587641
samoa,0.042057013,69.413,22,6021.557,198410,0.013837241,0.265086689,0.022033622,-1,2.071227761,0.249243939,0.284413538,0.320908624,0.115309007,0.231385364,0.007315226,0.593514944,0.030762497,0.012700363,-1,0.045788645,0.030897545,0.045816108,0.004636616,0.038660551,0.090829898,0.009419702,0.144922232,0.004684598,-1,0.029110383,0.00675602,0.02316735,0.087055693,-1,0.398724359,0.006853611
sao tome and principe,0.034612053,212.841,18.7,3052.714,219161,0.028927615,0.540305529,0.049055945,-1,1.087010919,0.109498177,0.207471539,0.390344541,0.361399838,0.451311228,0.023227472,0.586033099,0.020354903,0.004528808,0.002202408,0.017242091,0.04652972,0.000935144,0.007597223,0.109701772,0.107712869,0.038317219,0.256274109,0.011406569,-1,0.077464832,0.000917453,0.051316749,0.024352006,-1,0.063376194,0.008149465
saudi arabia,0.120944104,15.322,31.9,49045.411,34813867,0.004162413,0.100679048,0.001298589,0.00089045,0.906782346,0.096818231,0.109663256,0.07654358,0.070691113,0.089291776,0.004495838,0.340190591,0.013528738,0.020389082,0.000452452,0.038054233,0.008677005,0.01510326,0.013415818,0.019499756,0.345823404,0.003746645,0.068966427,0.003398855,0.000114897,0.006100839,0.003030792,0.001405852,0.031101544,0.074366918,0.061195873,0.007774474
senegal,0.026987077,82.328,18.7,2470.58,16743930,0.120318826,0.461498227,0.050316754,-1,0.883554219,0.11707574,0.115279089,0.170342566,0.084873921,0.223789397,0.015475877,0.533359193,0.019880189,0.022231418,0.128161967,0.030024887,0.008808201,0.107739999,0.007669036,0.313551,0.107501465,0.084065091,0.470438004,0.00759001,-1,0.434160618,0.00996382,0.053488751,0.066382743,-1,0.140272505,0.008936319
serbia,0.12315759,80.291,41.2,14048.881,6804596,0.004523795,0.222239204,0.001568505,-1,9.863258598,0.956934548,0.350600535,0.611326521,0.191645764,0.622202112,0.001014118,3.962727545,0.125117244,0.016048315,-1,0.016730457,0.032051028,0.010655172,0.013420065,0.020507595,0.114644411,0.001451225,0.03465036,0.057769043,-1,0.009789782,0.009009866,0.002863194,0.235309194,-1,0.50620992,0.00629153
seychelles,0.100590475,208.354,36.2,26382.287,98340,0.045291367,0.741000305,0.012019443,-1,2.400051861,0.340301403,0.421872687,0.272654261,0.27961867,0.488188225,0.009670277,1.644583079,0.042586475,0.038972422,-1,0.126227171,0.063943299,0.058883781,0.008789821,0.017480496,0.146200122,0.010040899,0.075865385,0.010001851,-1,0.02400479,0.002058918,0.014870795,0.090454688,-1,0.18346024,0.006417256
sierra leone,0.038117461,104.7,19.1,1390.3,7976985,0.212733508,0.898780805,0.192491399,-1,1.210905123,0.094878479,0.112330661,0.179831352,0.136152067,0.290402953,0.020769953,0.503849136,0.016844835,0.027239038,1.393837396,0.047216323,0.013456688,0.274609643,0.009209987,0.439167681,0.156024613,0.152995023,0.894723758,0.008598167,0.031340162,0.596368051,0.010358105,0.197900585,0.056831986,-1,0.120856614,0.010897487
singapore,0.141129699,7915.731,42.4,85535.383,5850343,0.000911196,0.460786658,0.000119869,-1,1.053072102,0.276407725,0.101593052,0.104933523,0.043442444,0.094696345,0.000335534,0.931392228,0.031524152,0.002201527,-1,0.004477686,0.004412798,0.005584618,0.002880306,0.003343064,0.033599039,0.000614193,0.004642976,0.002140639,-1,0.002502925,0.000391804,0.000238752,0.084840222,-1,0.026517796,0.000608526
slovakia,0.126031516,113.128,41.2,30155.152,5459643,0.004606596,0.307703819,0.000988015,-1,4.618538245,0.54804957,0.130619969,0.202832859,0.27966737,0.503276313,0.00098522,2.422735333,0.067432797,0.009670169,-1,0.022353641,0.024108902,0.000715743,0.008626364,0.005494676,0.081013099,0.000728594,0.023225969,0.044959863,-1,0.004032835,0.014902225,0.001339733,0.123549782,-1,0.134043948,0.006116024
slovenia,0.131495562,102.619,44.5,31400.84,2078932,0.003364309,0.289292771,0.000223389,-1,3.583636213,0.737825961,0.10229464,0.303073501,0.260324628,0.509039257,0.000496003,2.841391638,0.099579015,0.005997599,-1,0.010450804,0.009755701,0.001188938,0.013189782,0.006473598,0.068522491,0.000571262,0.008351509,0.093883735,-1,0.002896292,0.007162533,0.000660325,0.206931732,-1,0.144406936,0.00300412
solomon islands,0.034817431,21.841,20.8,2205.923,686878,0.026179991,0.672548109,0.031901226,-1,1.839505706,0.090711931,0.217469332,0.314181849,0.10896874,0.16715705,0.014361745,0.558884256,0.016085855,0.018072118,0.003363482,0.091310684,0.048514685,0.040874988,0.003241453,0.085698989,0.170741092,0.043914727,0.215622279,0.006537579,-1,0.071304438,0.011802776,0.033291502,0.135226343,-1,0.390113965,0.01047018
somalia,0.014578315,23.5,16.8,-1,15893219,0.20652745,0.820009464,0.210971799,0.120302879,1.135592481,0.064880563,0.1272885,0.192494296,0.15868063,0.30116561,0.019607532,0.585118911,0.009791868,0.034629819,0.072693518,0.045774786,0.088177228,0.150554523,0.002928319,0.798868373,0.324305668,0.148685424,0.771722204,0.009686238,-1,0.663675496,0.004770296,0.216106378,0.053637605,0.342598375,0.165849536,0.015251976
south africa,0.077898942,46.754,27.3,12294.876,59308690,0.039008061,0.447308986,0.030158464,0.00035408,1.292747825,0.191931739,0.154266584,0.30572535,0.077639213,0.196092849,0.003107647,0.820063131,0.019853398,0.032507327,0.001138675,0.024269749,0.264733212,2.282947069,0.012131573,0.330879337,0.261406212,0.020085522,0.179165313,0.01149396,0.000236053,0.241144932,0.006792568,0.031041741,0.104892082,0.0010791,0.381971175,0.008303002
spain,0.132822309,93.105,45.5,34272.36,46754783,0.004096203,0.276780239,0.003813734,0.000449152,2.643085735,1.107027702,0.226832194,0.716286289,0.173937777,0.461829542,0.002595621,2.473699857,0.124218863,0.007329346,-1,0.009671284,0.007089946,0.015150202,0.017682674,0.008273115,0.052435363,0.000437186,0.012708045,0.009921582,-1,0.020019971,0.003139136,0.007046511,0.080045843,-1,0.177350583,0.002657119
sri lanka,0.094058118,341.955,34.1,11669.077,21413250,0.014895231,0.232827338,0.00569723,4.67E-05,1.955188493,0.278841792,0.210711966,0.57285746,0.187776961,0.244977105,0.001186836,0.776530886,0.034409812,0.019554332,-1,0.048442623,0.035605539,0.002606214,0.009095425,0.036110688,0.130546881,0.004132517,0.058142645,0.023670839,0.001681202,0.033263428,0.00249958,0.006459897,0.211247148,4.67E-05,0.538771555,0.003741792
sudan,0.036323708,23.258,19.7,4466.507,43849269,0.025267719,0.214422161,0.013904921,0.001870043,1.573837411,0.100249014,0.072416669,0.134594216,0.071782063,0.117396826,0.011838168,0.345972472,0.014061956,0.025559947,0.058190845,0.027520482,0.009740703,0.120781512,0.009881832,0.027847671,0.243835308,0.054044436,0.575239692,0.002679497,-1,0.187818935,0.001727911,0.015646523,0.037753081,0.031174978,0.072879961,0.012994515
suriname,0.081539491,3.612,29.6,13767.119,586634,0.013619107,0.309437912,0.021566786,-1,2.379045538,0.289002854,0.356734011,0.209728383,0.210603545,0.41345984,0.004492844,1.134952458,0.040447843,0.017104975,0.005446202,0.051716061,0.08849274,0.173511082,0.013921841,0.015679391,0.16812764,0.017836283,0.24478346,0.034785318,-1,0.06560813,0.005081826,0.023839191,0.250643672,-1,0.38497172,0.004269101
sweden,0.11818819,24.718,41,46949.283,10099270,0.003142517,0.287408793,0.007836074,0.000495085,3.382774201,0.95651755,0.144712539,0.447346194,0.106000137,0.300398049,0.000809387,2.381653327,0.12013601,0.017476006,-1,0.01074749,0.011929813,0.002254529,0.039485874,0.007833613,0.038636535,0.000381454,0.013330033,0.037086086,-1,0.061430688,0.010415416,0.010307408,0.138177908,-1,0.17049658,0.003732355
switzerland,0.127611521,214.243,43.1,57410.166,8654618,0.00326519,0.19603176,0.005296629,-1,2.458804074,0.877789176,0.18006202,0.325333481,0.108595469,0.305136287,0.008914594,2.066190559,0.09849634,0.004766733,-1,0.006037276,0.006089489,0.004429976,0.023261443,0.003805493,0.038642121,0.000604395,0.017841354,0.0294885,-1,0.02380298,0.001861165,0.008081297,0.130910804,-1,0.129810235,0.001290089
syria,0.066264827,-1,21.7,-1,17500657,0.013197939,0.111193025,0.003668163,0.115767082,2.364484373,0.180364714,0.128970187,0.171074949,0.087158385,0.122241982,0.000541018,0.502526619,0.024100364,0.00783514,-1,0.008713536,0.019403586,0.000646301,0.013845246,0.003318262,0.09988065,0.002500406,0.055769358,0.004390292,-1,0.00301072,0.001733276,0.003911602,0.027840298,2.364388377,0.066346023,0.004231421
taiwan,0.130777965,-1,42.2,-1,23816775,0.005497104,0.550652219,0.004321379,-1,1.701664478,0.538015327,0.283139972,0.397797141,0.27331975,0.433008247,0.009999901,2.232258566,0.082353089,0.008859344,-1,0.024555596,0.014141113,0.008312427,0.019648391,0.035816465,0.167266013,0.001121022,0.014612306,0.02043272,0.000209936,0.005414864,0.001784129,0.004762807,0.182874801,-1,0.399794263,0.003809194
tajikistan,0.046846326,64.281,23.3,2896.913,9537642,0.029733513,0.513960159,0.000726656,0.000104848,1.915438847,0.135126376,0.06725848,0.153460467,0.16107042,0.226205911,0.014244118,0.494959027,0.02118726,0.025439632,-1,0.074537574,0.028030324,0.004668271,0.003611011,0.081783862,0.067666348,0.007506016,0.38504276,0.019189471,0.00136302,0.186929746,0.001393559,0.004542637,0.050899992,-1,0.138669285,0.005973368
tanzania,0.025605247,64.699,17.7,2683.304,59734213,0.089398683,0.560575227,0.109316783,0.000133927,0.739523094,0.09505956,0.097194233,0.106995567,0.103146801,0.215327354,0.01428892,0.466474213,0.011803797,0.024433334,0.256557829,0.030453285,0.051070699,0.47374174,0.00482308,0.3413635,0.093076442,0.082290345,0.577950027,0.010056496,0.000117186,0.254401276,0.00210725,0.112522869,0.044125433,0.000719855,0.118594197,0.011252756
thailand,0.119000281,135.132,40.1,16277.671,69799978,0.017718902,0.518446868,0.006036218,0.001031519,1.46967095,0.452009741,0.314067577,0.283851379,0.24697343,0.390634364,0.004343589,1.469862927,0.052821836,0.011630921,0.000446059,0.072277673,0.060858558,0.277535761,0.010240735,0.089196604,0.274822723,0.003592067,0.032369767,0.033139452,0.001103152,0.062182068,0.000658443,0.006647097,0.125635312,0.00047278,0.212649064,0.002955902
timor,0.046186637,87.176,18,6570.102,1318442,0.030739904,0.363550994,0.029374368,-1,1.732490318,0.14502079,0.111871815,0.342232119,0.172449679,0.318908151,0.008917692,0.63282359,0.023278112,0.014029931,0.001387761,0.05338181,0.026577013,0.168874323,0.003118233,0.168502141,0.089315495,0.071848819,0.335506909,0.008720581,-1,0.133542242,0.001322789,0.032529243,0.058396865,-1,0.140076317,0.004973191
togo,0.036670992,143.366,19.4,1429.813,8278737,0.0877275,0.451965559,0.055726834,-1,0.915679167,0.069879524,0.09162574,0.15631394,0.090274422,0.208762399,0.015259405,0.437130084,0.012565467,0.016211664,0.833981319,0.02456516,0.04859385,0.468018129,0.012626866,0.283763453,0.137098449,0.060096824,0.491146174,0.010396213,-1,0.386759478,0.008098836,0.059092323,0.068616686,0.002536619,0.099811904,0.007616844
trinidad and tobago,0.109977227,266.886,36.2,28763.071,1399491,0.011525076,0.224111338,0.016474561,-1,2.799708608,0.335788154,0.337929004,0.180038457,0.12957118,0.32368947,0.003891042,1.346736778,0.046152337,0.017488308,-1,0.033620588,0.227275488,0.15680501,0.011707778,0.015102412,0.150403182,0.006944541,0.114591091,0.026992285,-1,0.018165612,0.001990982,0.017067762,0.112896046,-1,1.171672415,0.001985999
tunisia,0.092378926,74.228,32.7,10849.297,11818618,0.008104728,0.139621824,0.001677395,0.000423061,2.887162441,0.33336715,0.139194024,0.211308632,0.084654991,0.150247516,0.008288511,0.796147654,0.042262479,0.014605684,-1,0.00831196,0.005675578,0.016388194,0.018925182,0.01109271,0.310411251,0.003921819,0.071643935,0.002459457,-1,0.009905735,0.000984131,0.002177216,0.03189565,0.002115307,0.163605762,0.006453553
turkey,0.091453936,104.914,31.6,25129.341,84339067,0.00429819,0.130774508,0.005125737,0.002632232,1.738037961,0.297165251,0.179667271,0.360178516,0.059564768,0.120308303,0.004481152,1.099846054,0.038710838,0.004981861,-1,0.010212678,0.020266966,0.002373398,0.006221119,0.008906467,0.102012179,0.002892033,0.091993074,0.002617725,-1,0.006117586,0.000839346,0.007538942,0.033891945,0.035167581,0.175520794,0.005229683
uganda,0.018172348,213.759,16.4,1697.707,45741000,0.107453663,0.32423034,0.075214097,0.000153036,0.500388273,0.053485145,0.065908594,0.098895258,0.09435736,0.191116875,0.007529608,0.451661966,0.006882637,0.017982893,0.486145253,0.023691808,0.03330277,0.566671039,0.002294712,0.310034542,0.127376271,0.038326534,0.579843685,0.007132435,0.000371658,0.25870204,0.0018792,0.076939835,0.044350561,0.000612142,0.082952712,0.007810116
ukraine,0.12261207,77.39,41.4,7894.393,43733759,0.010718086,0.210708071,0.001423353,0.000914625,9.770955202,0.79831784,0.066318287,0.25989465,0.459207954,0.698242975,0.003473175,2.195873215,0.088346785,0.0443719,-1,0.072035381,0.102994577,0.11606089,0.040154884,0.085813936,0.15277189,0.003325959,0.033245187,0.189099295,-1,0.002363424,0.057164261,0.003926546,0.312782398,0.010929772,0.059991916,0.033682995
united kingdom,0.116879987,272.898,40.8,39753.244,67886004,0.004264754,0.544322214,0.001466326,0.000618684,2.60017956,0.941194594,0.099660042,0.696721374,0.136369892,0.436615919,0.000943563,2.649387052,0.10803819,0.009229851,-1,0.004939454,0.005232485,0.003890096,0.044359423,0.005713789,0.03945915,0.00090951,0.024648866,0.034166085,-1,0.018064696,0.004194184,0.002132278,0.085112743,-1,0.080073044,0.002202348
united states,0.112420847,35.608,38.3,54225.446,331002647,0.004306739,0.283356223,0.012966739,0.000287007,2.725870951,0.781222151,0.256627253,0.595110045,0.188800484,0.345674275,0.003264629,2.112955912,0.089354331,0.016631985,-1,0.012744297,0.060059943,0.02218323,0.204316463,0.002837163,0.133575306,0.003538703,0.034552745,0.042201868,0.000311176,0.028717912,0.004395376,0.014817292,0.147429788,2.67E-05,0.20712348,0.005508288
uruguay,0.102107454,19.751,35.6,20551.409,3473727,0.004887059,0.424974386,0.023453064,-1,2.853371321,0.680153046,0.226552374,0.594400193,0.142577382,0.418831704,0.002766207,2.75668727,0.097944283,0.024405646,-1,0.026577523,0.060400601,0.05197861,0.011343514,0.016289772,0.175333842,0.003519016,0.047036396,0.034718272,-1,0.042854174,0.003260852,0.038565783,0.194710321,-1,0.229233501,0.006855285
vanuatu,0.042268471,22.662,23.1,2921.909,307150,0.03193971,0.389701449,0.038101253,-1,2.594826632,0.152895816,0.217538141,0.474973791,0.192867784,0.423392479,0.019557968,0.892726355,0.0284025,0.017337011,0.001961322,0.100110337,0.015627159,0.04378867,0.00401929,0.09142966,0.169039036,0.030506853,0.283255999,0.010715406,-1,0.113295947,0.025001107,0.039677259,0.14797747,-1,0.307173987,0.011042393
venezuela,0.081724614,36.253,29,16745.022,28435943,0.011066294,0.182314509,0.014941319,0.000175834,1.85357841,0.242569096,0.295514976,0.200226136,0.131695123,0.241969187,0.005857787,1.063367584,0.033708655,0.007703761,0.000577596,0.025648697,0.519053298,0.074819745,0.008419309,0.027666074,0.245748805,0.013889351,0.139480129,0.007642778,-1,0.043366489,0.00048028,0.01566945,0.097927718,-1,0.304908404,0.00387659
zambia,0.025393961,22.995,17.7,3689.251,18383956,0.133782794,0.488438669,0.140686314,-1,0.661287483,0.074839659,0.100775317,0.12114819,0.177182321,0.274160687,0.01698964,0.480092261,0.010870228,0.022970562,0.254194908,0.034025914,0.054043618,1.186187565,0.0052735,0.451853072,0.114140286,0.039036457,0.526982223,0.011004982,-1,0.421473376,0.001084099,0.143446601,0.063143972,5.44E-05,0.127913981,0.009835092
zimbabwe,0.033197686,42.729,19.6,1899.775,14862927,0.112831544,0.832248587,0.209371546,-1,1.142231271,0.083839543,0.117062541,0.229561849,0.096863962,0.227911905,0.00908235,0.769688232,0.012262322,0.039847225,0.046133719,0.049121832,0.07938544,1.080899476,0.017210742,0.804556868,0.183671763,0.079439198,0.565966313,0.005193616,-1,0.309669421,0.002787715,0.212447521,0.178125681,0.000336407,0.184804783,0.027274392
