iso_code,continent,location,LOC,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
NGA,Africa,nigeria,Nigeria,11/3/2022,266138,0,13.571,3155,0,0,1217.793,0,0.062,14.437,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216,,,,
OWID_NAM,,north america,North America,11/3/2022,115741830,78350,43588.286,1527801,737,356.286,192799.049,130.513,72.608,2544.962,1.228,0.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600323657,,,,
PRK,Asia,north korea,North Korea,11/3/2022,1,0,0,6,0,0,0.038,0,0,0.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4,,,,13.2,72.27,,26069416,,,,
MKD,Europe,north macedonia,North Macedonia,11/3/2022,344146,0,16.429,9564,0,0,164379.544,0,7.847,4568.195,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,2093606,,,,
NOR,Europe,norway,Norway,11/3/2022,1465398,160,125.429,4238,,,269655.987,29.442,23.081,779.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324,,,,
OWID_OCE,,oceania,Oceania,11/3/2022,12646137,19780,8391.571,20645,43,13.714,280782.795,439.176,186.318,458.382,0.955,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45038860,,,,
OMN,Asia,oman,Oman,11/3/2022,398775,0,0,4628,0,0,87139.174,0,0,1011.297,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300,,,,
PAK,Asia,pakistan,Pakistan,11/3/2022,1574235,68,44.714,30627,0,0.286,6675.441,0.288,0.19,129.872,0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864,,,,
PLW,Oceania,palau,Palau,11/3/2022,5513,0,0.571,7,0,0,304855.121,0,31.599,387.083,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084,,,,
PSE,Asia,palestine,Palestine,11/3/2022,703036,0,3.143,5708,0,0,133909.681,0,0.599,1087.222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708,5250076,,,,
PAN,North America,panama,Panama,11/3/2022,990413,,,8509,0,0.429,224655.683,,,1930.099,0,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582,,,,
PNG,Oceania,papua new guinea,Papua New Guinea,11/3/2022,45550,32,22.429,668,0,0,4490.948,3.155,2.211,65.861,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625,,,,
PRY,South America,paraguay,Paraguay,11/3/2022,717955,,,19601,0,0.429,105881.433,,,2890.685,0,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728,6780745,,,,
PER,South America,peru,Peru,11/3/2022,4158534,,,217025,,,122131.698,,,6373.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588,,,,
PHL,Asia,philippines,Philippines,11/3/2022,4006635,795,1058.429,64179,34,36.857,34671.767,6.88,9.159,555.379,0.294,0.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718,115559008,,,,
POL,Europe,poland,Poland,11/3/2022,6342404,955,553.286,118143,12,6.857,159128.411,23.961,13.882,2964.161,0.301,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144,,,,
PRT,Europe,portugal,Portugal,11/3/2022,5520731,,,25228,,,537514.153,,,2456.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864,10270857,,,,
QAT,Asia,qatar,Qatar,11/3/2022,470433,335,408.429,684,0,0,174549.215,124.298,151.543,253.791,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131,,,,
ROU,Europe,romania,Romania,11/3/2022,3288315,445,417.286,67203,5,4.143,167265.366,22.636,21.226,3418.387,0.254,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270,,,,
RUS,Europe,russia,Russia,11/3/2022,21142507,6321,6406.429,382510,72,72.571,146099.255,43.679,44.27,2643.226,0.498,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312,,,,
RWA,Africa,rwanda,Rwanda,11/3/2022,132584,0,4,1467,0,0,9623.784,0,0.29,106.484,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543,13776702,,,,
SHN,Africa,saint helena,Saint Helena,11/3/2022,2045,0,1.857,,,,378633.586,0,343.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,,5401,,,,
KNA,North America,saint kitts and nevis,Saint Kitts and Nevis,11/3/2022,6549,1,0.143,46,0,0,137350.307,20.973,2.996,964.745,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681,,,,
LCA,North America,saint lucia,Saint Lucia,11/3/2022,29654,0,2.143,407,0,0,164861.679,0,11.913,2262.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872,,,,
SPM,North America,saint pierre and miquelon,Saint Pierre and Miquelon,11/3/2022,3231,0,0,1,0,0,549022.94,0,0,169.924,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885,,,,
VCT,North America,saint vincent and the grenadines,Saint Vincent and the Grenadines,11/3/2022,9459,0,0.286,116,0,0,90987.793,0,2.748,1115.825,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959,,,,
WSM,Oceania,samoa,Samoa,11/3/2022,15946,0,0,29,0,0,71702.864,0,0,130.402,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390,,,,
SMR,Europe,san marino,San Marino,11/3/2022,21627,23,8.857,119,0,0,641941.229,682.695,262.901,3532.205,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690,,,,
STP,Africa,sao tome and principe,Sao Tome and Principe,11/3/2022,6270,0,0.571,77,0,0,27573.408,0,2.513,338.621,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393,,,,
SAU,Asia,saudi arabia,Saudi Arabia,11/3/2022,823203,227,237.571,9415,3,2,22609.986,6.235,6.525,258.591,0.082,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824,,,,
SEN,Africa,senegal,Senegal,11/3/2022,88679,0,0,1968,0,0,5121.084,0,0,113.649,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452,,,,
SRB,Europe,serbia,Serbia,11/3/2022,2406834,832,971,17261,5,7.429,350260.866,121.079,141.307,2511.953,0.728,1.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806,6871547,,,,
SYC,Africa,seychelles,Seychelles,11/3/2022,49035,0,0,171,0,0,457693.564,0,0,1596.117,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135,,,,
SLE,Africa,sierra leone,Sierra Leone,11/3/2022,7754,0,0,126,0,0,901.028,0,0,14.641,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723,,,,
SGP,Asia,singapore,Singapore,11/3/2022,2115621,3511,4147.571,1683,1,1.857,375308.274,622.847,735.774,298.562,0.177,0.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022,,,,
SVK,Europe,slovakia,Slovakia,11/3/2022,2644213,439,297.714,20620,6,4.857,468545.067,77.789,52.754,3653.79,1.063,0.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,
SVN,Europe,slovenia,Slovenia,11/3/2022,1235756,1533,683.714,6891,1,1.857,582946.945,723.167,322.531,3250.712,0.472,0.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,2119843,,,,
SLB,Oceania,solomon islands,Solomon Islands,11/3/2022,21544,0,0,153,0,0,29745.731,0,0,211.247,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,724272,,,,
SOM,Africa,somalia,Somalia,11/3/2022,27243,0,0.857,1361,0,0,1548.117,0,0.049,77.34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508,,,,
ZAF,Africa,south africa,South Africa,11/3/2022,4029496,469,334.143,102311,,,67277.253,7.831,5.579,1708.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884,,,,
OWID_SAM,,south america,South America,11/3/2022,64330296,13644,10245.143,1332629,109,81.714,147270.695,31.235,23.454,3050.774,0.25,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436816679,,,,
KOR,Asia,south korea,South Korea,11/3/2022,25760701,43424,41958.429,29315,35,30.714,497159.11,838.045,809.761,565.754,0.675,0.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808,,,,
SSD,Africa,south sudan,South Sudan,11/3/2022,18318,,,138,0,0,1678.522,,,12.645,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172,,,,
ESP,Europe,spain,Spain,11/3/2022,13511768,,,115078,,,284107.583,,,2419.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632,,,,
LKA,Asia,sri lanka,Sri Lanka,11/3/2022,671302,177,37.857,16782,1,0.714,30748.323,8.107,1.734,768.683,0.046,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,21832150,,,,
SDN,Africa,sudan,Sudan,11/3/2022,63509,0,5.143,4972,0,0,1354.882,0,0.11,106.071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200,,,,
SUR,South America,suriname,Suriname,11/3/2022,81228,0,6.143,1392,0,0.286,131427.111,0,9.939,2252.26,0,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046,,,,
SWE,Europe,sweden,Sweden,11/3/2022,2614997,3417,488.143,20753,94,13.429,247882.31,323.906,46.272,1967.23,8.911,1.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349,,,,
CHE,Europe,switzerland,Switzerland,11/3/2022,4255891,,,14081,1,2.714,486917.81,,,1611.012,0.114,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471,,,,
SYR,Asia,syria,Syria,11/3/2022,57365,1,1.286,3163,0,0,2592.74,0.045,0.058,142.959,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242,,,,
TWN,Asia,taiwan,Taiwan,11/3/2022,7810077,29952,31219.429,13010,81,63.857,326871.785,1253.568,1306.613,544.502,3.39,2.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396,,,,
TJK,Asia,tajikistan,Tajikistan,11/3/2022,17786,0,0,125,0,0,1787.037,0,0,12.559,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789,,,,
TZA,Africa,tanzania,Tanzania,11/3/2022,40054,,,845,0,0,611.532,,,12.901,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752,,,,
THA,Asia,thailand,Thailand,11/3/2022,4692448,,,32955,,,65448.295,,,459.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024,,,,
TLS,Asia,timor,Timor,11/3/2022,23303,0,0.429,138,0,0,17373.47,0,0.32,102.885,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298,,,,
TGO,Africa,togo,Togo,11/3/2022,39304,0,1.571,290,0,0,4441.782,0,0.178,32.773,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700,,,,
TON,Oceania,tonga,Tonga,11/3/2022,16182,0,0,12,0,0,151421.861,0,0,112.289,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867,,,,
TTO,North America,trinidad and tobago,Trinidad and Tobago,11/3/2022,184854,,,4255,0,0.857,120737.301,,,2779.151,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,1531043,,,,
TUN,Africa,tunisia,Tunisia,11/3/2022,1146593,,,29259,0,0.286,92795.584,,,2367.977,0,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116,,,,
TUR,Asia,turkey,Turkey,11/3/2022,16919638,0,0,101203,0,0,198258.619,0,0,1185.863,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248,,,,
TCA,North America,turks and caicos islands,Turks and Caicos Islands,11/3/2022,6431,2,0.286,36,0,0,140642.085,43.739,6.248,787.298,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.312,,,,,,,,,,,,80.22,,45726,,,,
TUV,Oceania,tuvalu,Tuvalu,11/3/2022,23,0,0,,,,2029.113,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335,,,,
UGA,Africa,uganda,Uganda,11/3/2022,169473,0,11,3630,0,0,3586.761,0,0.233,76.826,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588,,,,
UKR,Europe,ukraine,Ukraine,11/3/2022,5617643,16432,2406,118064,179,26.571,141496.127,413.886,60.602,2973.774,4.509,0.669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,39701744,,,,
ARE,Asia,united arab emirates,United Arab Emirates,11/3/2022,1038538,310,311.143,2348,0,0,110001.358,32.835,32.956,248.699,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138,,,,
GBR,Europe,united kingdom,United Kingdom,11/3/2022,23930041,31552,4507.429,209947,739,105.571,354472.199,467.375,66.768,3109.914,10.947,1.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,67508936,,,,
USA,North America,united states,United States,11/3/2022,97691083,68994,39046.857,1072222,573,292.714,288779.227,203.949,115.424,3169.536,1.694,0.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,338289856,,,,
OWID_UMC,,upper middle income,Upper middle income,11/3/2022,138919095,27030,21653.429,2498537,148,182.429,54997.396,10.701,8.572,989.159,0.059,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300,,,,
URY,South America,uruguay,Uruguay,11/3/2022,990560,,,7518,0,0.429,289400.829,,,2196.45,0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,3422796,,,,
UZB,Asia,uzbekistan,Uzbekistan,11/3/2022,244716,52,23.571,1637,0,0,7067.07,1.502,0.681,47.274,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,
VUT,Oceania,vanuatu,Vanuatu,11/3/2022,11981,0,0,14,0,0,36667.85,0,0,42.847,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,326744,,,,
VAT,Europe,vatican,Vatican,11/3/2022,29,0,0,,,,35891.089,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12,,808,,,,
VEN,South America,venezuela,Venezuela,11/3/2022,545951,25,24.857,5820,0,0,19290.396,0.883,0.878,205.641,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,28301700,,,,
VNM,Asia,vietnam,Vietnam,11/3/2022,11504910,819,793.286,43165,0,0.429,117173.627,8.341,8.079,439.621,0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,98186856,,,,
WLF,Oceania,wallis and futuna,Wallis and Futuna,11/3/2022,3415,0,0,7,0,0,294498.103,0,0,603.656,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.94,,11596,,,,
OWID_WRL,,world,World,11/3/2022,631707818,469127,322605.571,6597533,2875,1535.857,79209.969,58.824,40.452,827.266,0.36,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,7975105024,,,,
YEM,Asia,yemen,Yemen,11/3/2022,11944,0,0.714,2158,0,0,354.457,0,0.021,64.042,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612,,,,
ZMB,Africa,zambia,Zambia,11/3/2022,333685,1,1.571,4017,0,0,16669.522,0.05,0.079,200.673,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,20017670,,,,
ZWE,Africa,zimbabwe,Zimbabwe,11/3/2022,257893,0,0,5606,0,0,15801.745,0,0,343.494,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539,,,,
