,ADMIN,id,index
0,Aruba,ABW,1.3
1,Afghanistan,AFG,1.3
2,Angola,AGO,1.3
3,Anguilla,AIA,1.3
4,Albania,ALB,1.3
5,Aland,ALA,1.3
6,Andorra,AND,1.3
7,United Arab Emirates,ARE,1.3
8,Argentina,ARG,1.3
9,Armenia,ARM,1.3
10,American Samoa,ASM,1.3
12,Ashmore and Cartier Islands,-99,1.3
13,French Southern and Antarctic Lands,ATF,1.3
14,Antigua and Barbuda,ATG,1.3
15,Australia,AUS,1.3
16,Austria,AUT,1.3
17,Azerbaijan,AZE,1.3
18,Burundi,BDI,1.3
19,Belgium,BEL,1.3
20,Benin,BEN,1.3
21,Burkina Faso,BFA,1.3
22,Bangladesh,BGD,1.3
23,Bulgaria,BGR,1.3
24,Bahrain,BHR,1.3
25,The Bahamas,BHS,1.3
26,Bosnia and Herzegovina,BIH,1.3
27,Bajo Nuevo Bank (Petrel Is.),-99,1.3
28,Saint Barthelemy,BLM,1.3
29,Belarus,BLR,1.3
30,Belize,BLZ,1.3
31,Bermuda,BMU,1.3
32,Bolivia,BOL,1.3
33,Brazil,BRA,1.3
34,Barbados,BRB,1.3
35,Brunei,BRN,1.3
36,Bhutan,BTN,1.3
37,Botswana,BWA,1.3
38,Central African Republic,CAF,1.3
39,Canada,CAN,1.3
40,Switzerland,CHE,1.3
41,Chile,CHL,1.3
42,China,CHN,1.3
43,Ivory Coast,CIV,1.3
44,Clipperton Island,-99,1.3
45,Cameroon,CMR,1.3
46,Cyprus No Mans Area,-99,1.3
47,Democratic Republic of the Congo,COD,1.3
48,Republic of Congo,COG,1.3
49,Cook Islands,COK,1.3
50,Colombia,COL,1.3
51,Comoros,COM,1.3
52,Cape Verde,CPV,1.3
53,Costa Rica,CRI,1.3
54,Coral Sea Islands,-99,1.3
55,Cuba,CUB,1.3
56,Cura̤ao,CUW,1.3
57,Cayman Islands,CYM,1.3
58,Northern Cyprus,-99,1.3
59,Cyprus,CYP,1.3
60,Czech Republic,CZE,1.3
61,Germany,DEU,1.3
62,Djibouti,DJI,1.3
63,Dominica,DMA,1.3
64,Denmark,DNK,1.3
65,Dominican Republic,DOM,1.3
66,Algeria,DZA,1.3
67,Ecuador,ECU,1.3
68,Egypt,EGY,1.3
69,Eritrea,ERI,1.3
70,Dhekelia Sovereign Base Area,-99,1.3
71,Spain,ESP,1.3
72,Estonia,EST,1.3
73,Ethiopia,ETH,1.3
74,Finland,FIN,1.3
75,Fiji,FJI,1.3
76,Falkland Islands,FLK,1.3
77,France,FRA,1.3
78,Faroe Islands,FRO,1.3
79,Federated States of Micronesia,FSM,1.3
80,Gabon,GAB,1.3
81,United Kingdom,GBR,1.3
82,Georgia,GEO,1.3
83,Guernsey,GGY,1.3
84,Ghana,GHA,1.3
85,Gibraltar,GIB,1.3
86,Guinea,GIN,1.3
87,Gambia,GMB,1.3
88,Guinea Bissau,GNB,1.3
89,Equatorial Guinea,GNQ,1.3
90,Greece,GRC,1.3
91,Grenada,GRD,1.3
92,Greenland,GRL,1.3
93,Guatemala,GTM,1.3
94,Guam,GUM,1.3
95,Guyana,GUY,1.3
96,Hong Kong S.A.R.,HKG,1.3
97,Heard Island and McDonald Islands,HMD,1.3
98,Honduras,HND,1.3
99,Croatia,HRV,1.3
100,Haiti,HTI,1.3
101,Hungary,HUN,1.3
102,Indonesia,IDN,1.3
103,Isle of Man,IMN,1.3
104,India,IND,1.3
105,Indian Ocean Territories,-99,1.3
106,British Indian Ocean Territory,IOT,1.3
107,Ireland,IRL,1.3
108,Iran,IRN,1.3
109,Iraq,IRQ,1.3
110,Iceland,ISL,1.3
111,Israel,ISR,1.3
112,Italy,ITA,1.3
113,Jamaica,JAM,1.3
114,Jersey,JEY,1.3
115,Jordan,JOR,1.3
116,Japan,JPN,1.3
117,Baykonur Cosmodrome,-99,1.3
118,Siachen Glacier,-99,1.3
119,Kazakhstan,KAZ,1.3
120,Kenya,KEN,1.3
121,Kyrgyzstan,KGZ,1.3
122,Cambodia,KHM,1.3
123,Kiribati,KIR,1.3
124,Saint Kitts and Nevis,KNA,1.3
125,South Korea,KOR,1.3
126,Kosovo,-99,1.3
127,Kuwait,KWT,1.3
128,Laos,LAO,1.3
129,Lebanon,LBN,1.3
130,Liberia,LBR,1.3
131,Libya,LBY,1.3
132,Saint Lucia,LCA,1.3
133,Liechtenstein,LIE,1.3
134,Sri Lanka,LKA,1.3
135,Lesotho,LSO,1.3
136,Lithuania,LTU,1.3
137,Luxembourg,LUX,1.3
138,Latvia,LVA,1.3
139,Macao S.A.R,MAC,1.3
140,Saint Martin,MAF,1.3
141,Morocco,MAR,1.3
142,Monaco,MCO,1.3
143,Moldova,MDA,1.3
144,Madagascar,MDG,1.3
145,Maldives,MDV,1.3
146,Mexico,MEX,1.3
147,Marshall Islands,MHL,1.3
148,Macedonia,MKD,1.3
149,Mali,MLI,1.3
150,Malta,MLT,1.3
151,Myanmar,MMR,1.3
152,Montenegro,MNE,1.3
153,Mongolia,MNG,1.3
154,Northern Mariana Islands,MNP,1.3
155,Mozambique,MOZ,1.3
156,Mauritania,MRT,1.3
157,Montserrat,MSR,1.3
158,Mauritius,MUS,1.3
159,Malawi,MWI,1.3
160,Malaysia,MYS,1.3
161,Namibia,NAM,1.3
162,New Caledonia,NCL,1.3
163,Niger,NER,1.3
164,Norfolk Island,NFK,1.3
165,Nigeria,NGA,1.3
166,Nicaragua,NIC,1.3
167,Niue,NIU,1.3
168,Netherlands,NLD,1.3
169,Norway,NOR,1.3
170,Nepal,NPL,1.3
171,Nauru,NRU,1.3
172,New Zealand,NZL,1.3
173,Oman,OMN,1.3
174,Pakistan,PAK,1.3
175,Panama,PAN,1.3
176,Pitcairn Islands,PCN,1.3
177,Peru,PER,1.3
178,Spratly Islands,-99,1.3
179,Philippines,PHL,1.3
180,Palau,PLW,1.3
181,Papua New Guinea,PNG,1.3
182,Poland,POL,1.3
183,Puerto Rico,PRI,1.3
184,North Korea,PRK,1.3
185,Portugal,PRT,1.3
186,Paraguay,PRY,1.3
187,Palestine,PSE,1.3
188,French Polynesia,PYF,1.3
189,Qatar,QAT,1.3
190,Romania,ROU,1.3
191,Russia,RUS,1.3
192,Rwanda,RWA,1.3
193,Western Sahara,ESH,1.3
194,Saudi Arabia,SAU,1.3
195,Scarborough Reef,-99,1.3
196,Sudan,SDN,1.3
197,South Sudan,SSD,1.3
198,Senegal,SEN,1.3
199,Serranilla Bank,-99,1.3
200,Singapore,SGP,1.3
201,South Georgia and South Sandwich Islands,SGS,1.3
202,Saint Helena,SHN,1.3
203,Solomon Islands,SLB,1.3
204,Sierra Leone,SLE,1.3
205,El Salvador,SLV,1.3
206,San Marino,SMR,1.3
207,Somaliland,-99,1.3
208,Somalia,SOM,1.3
209,Saint Pierre and Miquelon,SPM,1.3
210,Republic of Serbia,SRB,1.3
211,Sao Tome and Principe,STP,1.3
212,Suriname,SUR,1.3
213,Slovakia,SVK,1.3
214,Slovenia,SVN,1.3
215,Sweden,SWE,1.3
216,Swaziland,SWZ,1.3
217,Sint Maarten,SXM,1.3
218,Seychelles,SYC,1.3
219,Syria,SYR,1.3
220,Turks and Caicos Islands,TCA,1.3
221,Chad,TCD,1.3
222,Togo,TGO,1.3
223,Thailand,THA,1.3
224,Tajikistan,TJK,1.3
225,Turkmenistan,TKM,1.3
226,East Timor,TLS,1.3
227,Tonga,TON,1.3
228,Trinidad and Tobago,TTO,1.3
229,Tunisia,TUN,1.3
230,Turkey,TUR,1.3
231,Tuvalu,TUV,1.3
232,Taiwan,TWN,1.3
233,United Republic of Tanzania,TZA,1.3
234,Uganda,UGA,1.3
235,Ukraine,UKR,1.3
236,United States Minor Outlying Islands,UMI,1.3
237,Uruguay,URY,1.3
238,United States of America,USA,1.3
239,US Naval Base Guantanamo Bay,-99,1.3
240,Uzbekistan,UZB,1.3
241,Vatican,VAT,1.3
242,Saint Vincent and the Grenadines,VCT,1.3
243,Venezuela,VEN,1.3
244,British Virgin Islands,VGB,1.3
245,United States Virgin Islands,VIR,1.3
246,Vietnam,VNM,1.3
247,Vanuatu,VUT,1.3
248,Wallis and Futuna,WLF,1.3
249,Akrotiri Sovereign Base Area,-99,1.3
250,Samoa,WSM,1.3
251,Yemen,YEM,1.3
252,South Africa,ZAF,1.3
253,Zambia,ZMB,1.3
254,Zimbabwe,ZWE,1.3
